,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
9431,0,0,0,0,0,0,0,23,11,0,17,0,0,0,0,0,66,7,0,1,0,20,6,14,0,30,38,-1,-1,-1,10,0,0,-1,-1,-1,6,5,0
9927,-1,-1,-1,0,0,0,0,0,11,49,17,0,-1,-1,-1,-1,-1,-1,62,34,0,0,0,14,0,36,0,-1,-1,-1,32,18,0,0,11,7,-1,-1,-1
12747,0,2,59,0,9,0,0,0,11,-1,-1,-1,-1,-1,-1,20,52,0,62,0,36,0,0,14,0,0,0,48,27,15,0,17,10,0,28,7,-1,-1,-1
14439,0,0,0,3,0,0,0,0,0,0,17,0,8,0,0,0,0,0,14,0,0,39,0,14,0,0,76,-1,-1,-1,0,90,34,55,39,7,54,19,2
15471,0,0,59,0,9,0,0,0,11,-1,-1,-1,0,0,0,0,52,0,62,0,0,0,0,14,0,23,0,48,27,14,0,17,10,0,28,7,80,7,60
19485,0,0,0,0,0,0,0,53,11,-1,-1,-1,4,21,0,0,0,39,62,100000006,100000006,0,0,14,0,0,0,0,0,0,0,40,59,47,8,7,0,100000006,100000006
20967,-1,-1,-1,-1,-1,-1,25,1,0,0,17,0,-1,-1,-1,0,0,7,100000005,-1,100000005,0,10,14,0,0,19,0,100000006,100000006,1,41,18,-1,-1,-1,5,35,0
21846,0,0,47,0,0,0,0,58,11,0,17,0,0,21,65,-1,-1,-1,62,0,32,0,0,14,0,76,0,0,0,0,53,40,5,12,1,7,77,76,0
23278,0,0,0,0,0,41,3,0,11,77,17,22,-1,-1,-1,70,0,33,62,8,0,8,0,14,-1,-1,-1,67,41,0,-1,-1,-1,15,12,7,-1,-1,-1
23345,0,3,0,-1,-1,-1,0,0,0,-1,-1,-1,13,0,0,-1,-1,-1,0,0,0,0,0,14,70,66,0,-1,-1,-1,-1,-1,-1,55,0,7,100000005,-1,100000005
24239,-1,-1,-1,1,0,0,-1,-1,-1,0,17,51,0,0,0,-1,-1,-1,-1,-1,-1,100000003,100000003,14,20,0,6,-1,-1,-1,100000005,-1,100000005,6,0,7,24,1,28
24283,0,0,0,0,19,0,0,0,0,0,17,12,8,0,0,0,44,0,0,0,2,39,0,14,-1,-1,-1,0,0,0,0,0,34,55,39,7,1,19,15
25486,0,0,0,0,0,0,23,0,0,0,17,0,5,0,0,-1,-1,-1,0,76,0,1,0,14,0,0,50,-1,-1,-1,-1,-1,-1,55,35,7,10,35,3
27407,0,0,0,21,0,0,0,0,11,12,17,0,0,41,9,0,43,0,-1,-1,-1,100000003,100000003,14,0,27,0,15,0,0,0,0,0,38,0,7,100000003,100000003,28
27462,0,0,0,7,5,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,39,0,8,14,0,22,0,9,100000006,100000006,0,100000006,100000006,55,29,7,-1,-1,-1
27521,0,0,46,0,5,0,-1,-1,-1,0,17,0,0,0,0,1,2,7,0,0,39,0,8,14,0,22,0,9,100000006,100000006,0,100000006,100000006,55,29,7,100000005,-1,100000005
28099,0,0,0,-1,-1,-1,25,1,0,0,17,0,0,0,0,0,26,7,0,0,0,-1,-1,-1,10,0,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,35,25
28136,0,0,0,0,0,0,0,0,11,0,17,0,0,3,1,37,0,26,62,23,0,0,0,14,18,0,12,0,100000006,100000006,59,33,0,-1,-1,-1,-1,-1,-1
28310,-1,-1,-1,0,9,0,-1,-1,-1,0,17,3,0,0,0,40,52,0,62,0,0,25,0,14,-1,-1,-1,0,27,0,0,17,10,55,28,7,80,40,60
29691,0,0,0,0,0,0,-1,-1,-1,0,17,0,0,0,1,22,0,26,62,0,0,10,0,14,0,56,0,0,64,0,0,33,0,0,11,7,-1,-1,-1
30014,0,0,0,0,5,0,0,0,0,0,17,3,0,0,12,0,0,7,11,0,0,22,11,14,-1,-1,-1,0,100000006,100000006,0,49,41,55,28,7,3,35,0
30071,0,0,0,0,5,0,0,0,73,0,17,0,0,0,0,0,28,7,0,0,0,0,11,14,0,0,22,0,100000006,100000006,0,49,22,55,4,7,0,35,29
30979,0,0,0,0,41,0,0,42,0,0,17,0,0,3,42,0,58,7,-1,-1,-1,0,51,14,39,0,0,0,100000006,100000006,14,0,0,55,27,7,0,1,6
30991,-1,-1,-1,0,0,0,3,10,11,0,17,22,-1,-1,-1,0,0,33,62,9,38,-1,-1,-1,45,0,0,-1,-1,-1,-1,-1,-1,0,12,7,68,58,60
31039,0,0,0,-1,-1,-1,23,0,0,77,17,0,100000005,-1,100000005,15,34,0,6,0,0,0,50,14,0,0,22,-1,-1,-1,0,31,0,-1,-1,-1,0,0,3
31040,0,0,25,9,0,0,0,0,11,-1,-1,-1,12,0,73,7,0,0,0,21,61,100000003,100000003,14,0,0,52,0,74,0,20,43,0,-1,-1,-1,-1,-1,-1
31323,0,0,0,0,5,0,0,36,0,-1,-1,-1,0,0,0,0,0,7,0,0,39,0,8,14,5,22,0,9,100000006,100000006,0,100000006,100000006,-1,-1,-1,100000005,-1,100000005
31528,0,0,0,39,0,0,4,0,11,-1,-1,-1,1,21,0,0,0,27,62,0,62,0,0,14,39,13,0,-1,-1,-1,0,40,59,100000003,100000003,7,0,5,10
32075,0,0,22,0,0,7,12,0,11,0,17,27,0,53,1,-1,-1,-1,0,0,0,0,39,14,4,31,5,0,0,0,1,0,0,0,5,7,67,7,28
32372,0,0,0,-1,-1,-1,-1,-1,-1,0,17,0,0,0,0,-1,-1,-1,0,0,39,0,8,14,0,22,0,-1,-1,-1,0,100000006,100000006,55,29,7,-1,-1,-1
32639,0,0,0,0,15,0,-1,-1,-1,0,17,15,19,0,0,100000003,100000003,0,100000005,-1,100000005,0,0,14,1,0,5,0,100000006,100000006,0,0,30,-1,-1,-1,100000003,100000003,47
32800,0,0,0,0,0,8,32,0,0,0,17,1,8,0,0,0,0,0,0,0,0,39,0,14,26,0,0,0,1,0,32,16,34,-1,-1,-1,1,19,40
32876,0,0,0,0,0,0,0,0,11,0,17,0,0,21,48,0,0,0,62,0,0,0,0,14,0,24,12,-1,-1,-1,68,40,59,37,0,7,37,0,52
33283,0,0,0,0,0,0,0,0,11,0,17,50,0,0,0,0,52,0,62,0,0,0,48,14,0,0,0,-1,-1,-1,-1,-1,-1,21,45,7,80,0,60
33916,0,0,0,0,5,0,0,0,0,0,17,0,0,0,0,0,0,7,0,0,39,0,8,14,14,22,18,9,100000006,100000006,0,100000006,100000006,55,29,7,100000005,-1,100000005
34409,0,0,0,0,0,0,0,0,11,-1,-1,-1,0,7,0,0,0,0,62,29,4,-1,-1,-1,0,0,16,-1,-1,-1,-1,-1,-1,0,0,7,80,2,60
34699,-1,-1,-1,0,0,8,32,0,0,0,17,0,8,0,0,0,0,0,-1,-1,-1,39,0,14,26,0,14,4,1,38,32,16,34,55,39,7,29,19,40
34840,0,0,34,25,15,0,0,0,11,0,17,34,0,0,18,58,9,0,-1,-1,-1,0,3,14,-1,-1,-1,19,100000006,100000006,-1,-1,-1,0,38,7,-1,-1,-1
35068,0,0,0,43,85,78,0,11,0,0,17,57,26,17,0,0,0,0,1,0,0,0,0,14,-1,-1,-1,-1,-1,-1,76,0,0,8,7,7,0,100000006,100000006
35293,0,0,0,0,85,0,0,11,0,0,17,57,26,0,0,0,0,0,0,23,0,0,0,14,8,100000006,100000006,55,0,0,-1,-1,-1,8,7,7,38,100000006,100000006
35454,0,0,0,0,0,0,13,0,11,7,17,0,-1,-1,-1,0,0,26,62,0,0,0,0,14,58,0,0,0,0,0,-1,-1,-1,47,11,7,6,100000006,100000006
35861,-1,-1,-1,8,0,12,2,0,11,0,17,0,6,21,0,22,0,0,62,0,17,0,56,14,21,8,0,0,0,0,12,40,0,0,34,7,0,9,0
36115,0,0,47,0,0,0,16,0,11,-1,-1,-1,0,21,0,21,0,0,62,0,0,0,0,14,2,0,2,1,0,0,-1,-1,-1,44,14,7,0,0,8
36551,-1,-1,-1,8,85,48,0,11,0,0,17,57,26,0,0,-1,-1,-1,0,0,1,0,0,14,8,100000006,100000006,55,87,0,76,23,25,8,1,7,0,100000006,100000006
36650,-1,-1,-1,0,0,16,-1,-1,-1,0,17,0,-1,-1,-1,0,0,72,0,0,40,3,0,14,1,6,11,0,0,48,4,6,30,-1,-1,-1,100000003,100000003,29
36715,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,33,62,0,0,0,0,14,45,0,0,67,41,0,-1,-1,-1,30,12,7,68,1,60
36867,0,0,47,0,0,0,0,0,11,0,17,0,0,21,88,0,37,0,62,0,1,0,0,14,0,0,2,1,0,45,0,40,59,4,0,7,11,0,20
37478,0,0,0,0,0,0,0,0,11,0,17,42,0,0,0,0,18,0,62,30,0,-1,-1,-1,-1,-1,-1,0,19,0,0,0,0,-1,-1,-1,80,8,60
38166,0,0,34,0,15,0,0,0,11,0,17,32,0,0,72,0,61,0,0,0,61,70,0,14,0,8,52,0,100000006,100000006,45,13,0,36,38,7,34,0,0
38236,0,0,46,-1,-1,-1,-1,-1,-1,0,17,0,0,0,0,1,0,7,-1,-1,-1,-1,-1,-1,0,22,0,9,100000006,100000006,0,100000006,100000006,-1,-1,-1,100000005,-1,100000005
38356,0,0,0,0,1,0,23,22,12,-1,-1,-1,0,0,7,11,0,0,0,76,0,0,0,14,-1,-1,-1,-1,-1,-1,100000003,100000003,41,-1,-1,-1,4,22,3
38512,0,0,0,0,0,0,-1,-1,-1,0,17,22,-1,-1,-1,0,16,33,62,0,0,11,0,14,-1,-1,-1,67,41,0,-1,-1,-1,0,12,7,68,0,60
38871,-1,-1,-1,0,0,0,5,0,11,0,17,0,0,5,0,-1,-1,-1,5,0,1,0,10,14,5,0,55,40,0,0,100000005,-1,100000005,0,2,7,-1,-1,-1
39372,0,0,10,0,0,0,-1,-1,-1,11,17,0,19,0,0,100000003,100000003,0,0,0,0,0,0,14,0,43,0,-1,-1,-1,61,14,30,0,25,7,100000003,100000003,0
39884,0,0,0,17,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,1,10,28,0,100000003,100000003,14,0,100000006,100000006,-1,-1,-1,18,79,6,55,14,7,0,13,3
