,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
3728,0,18,0,0,29,0,-1,-1,-1,0,32,0,0,14,0,-1,-1,-1,67,0,0,75,0,0,73,74,0,0,8,0,42,46,5,-1,-1,-1,-1,-1,-1
6312,0,0,0,57,0,0,0,0,17,0,73,15,0,0,0,100000005,-1,100000005,0,13,3,0,0,30,73,0,49,0,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
6406,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,12,14,0,0,0,2,67,50,0,0,0,0,73,74,0,0,8,82,0,0,5,4,5,22,100000003,100000003,9
8005,0,0,68,0,29,0,0,0,0,-1,-1,-1,-1,-1,-1,0,24,20,67,0,0,19,0,0,73,74,29,0,8,0,3,37,5,-1,-1,-1,2,27,9
8447,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,28,31,3,-1,-1,-1,73,36,0,51,8,0,-1,-1,-1,0,42,59,11,0,9
12736,-1,-1,-1,0,0,0,0,10,0,-1,-1,-1,17,2,0,-1,-1,-1,-1,-1,-1,51,0,52,0,0,17,0,4,13,-1,-1,-1,100000003,100000003,25,48,81,9
13259,-1,-1,-1,7,0,0,5,0,0,0,54,0,0,0,9,0,0,0,0,0,3,0,13,9,73,0,0,0,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
14846,0,0,0,0,0,0,-1,-1,-1,3,0,0,0,14,31,2,0,13,67,36,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,5,-1,-1,-1,33,11,9
14867,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,14,0,0,0,1,67,0,0,4,0,0,73,74,0,0,8,16,0,0,5,0,5,6,14,93,9
18642,0,0,0,0,29,0,0,0,0,0,0,0,0,14,0,1,0,0,67,0,0,-1,-1,-1,73,74,0,0,8,0,7,6,5,26,5,6,14,13,9
20009,0,0,0,-1,-1,-1,-1,-1,-1,7,0,0,-1,-1,-1,0,0,29,0,0,3,0,13,83,73,0,0,-1,-1,-1,-1,-1,-1,0,42,59,11,21,9
20756,0,0,0,100000005,-1,100000005,21,0,17,0,73,0,-1,-1,-1,0,0,14,40,0,3,0,37,36,73,50,19,18,8,0,-1,-1,-1,-1,-1,-1,11,22,9
20962,0,0,0,0,29,0,0,20,0,0,0,0,74,14,0,0,0,85,67,0,0,-1,-1,-1,73,74,7,7,8,0,42,0,5,-1,-1,-1,1,34,9
22699,0,0,0,0,42,0,0,10,0,0,76,0,0,7,28,5,0,0,0,0,0,0,4,3,0,0,0,0,0,13,-1,-1,-1,70,0,25,-1,-1,-1
23495,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,33,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,9,13,-1,-1,-1,70,56,25,48,21,9
23775,-1,-1,-1,7,0,0,0,0,26,-1,-1,-1,6,0,9,0,0,0,-1,-1,-1,0,13,29,73,0,18,-1,-1,-1,-1,-1,-1,0,42,59,11,34,9
24019,-1,-1,-1,7,0,16,-1,-1,-1,0,0,0,6,0,9,12,0,0,15,0,3,0,13,29,73,0,18,0,8,26,-1,-1,-1,-1,-1,-1,11,34,9
25585,-1,-1,-1,0,0,16,-1,-1,-1,0,1,0,0,14,0,-1,-1,-1,0,0,0,0,39,0,73,32,0,0,8,47,0,0,14,-1,-1,-1,24,17,9
25876,0,21,0,-1,-1,-1,0,0,0,0,0,0,0,27,0,0,0,2,0,0,3,0,0,0,73,0,11,100000005,-1,100000005,-1,-1,-1,41,42,54,70,8,9
26579,0,0,0,-1,-1,-1,21,0,17,0,73,0,0,20,0,49,0,0,0,0,3,0,37,0,73,1,19,18,8,0,-1,-1,-1,0,42,59,11,45,9
26993,0,0,0,0,0,0,0,0,0,0,0,18,-1,-1,-1,0,0,38,10,0,3,-1,-1,-1,73,64,23,0,8,0,-1,-1,-1,0,42,59,11,0,9
27040,0,0,68,-1,-1,-1,0,10,0,10,76,28,0,7,42,0,0,0,0,11,0,7,0,3,10,0,50,2,0,13,-1,-1,-1,70,5,25,48,6,9
27759,0,0,0,0,0,16,-1,-1,-1,0,20,0,-1,-1,-1,57,0,0,0,12,0,0,100000006,100000006,0,0,0,17,59,13,-1,-1,-1,73,60,25,48,0,9
28708,0,0,19,-1,-1,-1,0,0,0,-1,-1,-1,64,0,9,24,0,0,0,0,3,31,13,0,-1,-1,-1,0,8,23,-1,-1,-1,0,42,59,11,37,9
28809,-1,-1,-1,0,0,0,0,19,0,0,0,0,0,0,0,11,0,0,0,53,3,-1,-1,-1,-1,-1,-1,0,8,1,-1,-1,-1,3,42,59,11,63,9
29147,-1,-1,-1,3,0,48,0,3,0,0,0,0,0,14,0,35,29,73,0,8,53,0,69,0,73,12,0,15,8,0,13,100000006,100000006,-1,-1,-1,71,88,9
29498,0,0,0,0,0,0,-1,-1,-1,36,0,11,-1,-1,-1,0,0,0,0,0,0,0,10,0,73,0,0,0,8,47,0,42,0,29,8,11,24,1,9
29702,0,21,0,0,55,11,-1,-1,-1,0,0,9,17,0,0,1,0,22,62,0,3,0,0,4,73,1,0,100000005,-1,100000005,0,0,11,-1,-1,-1,7,22,9
29755,0,0,0,0,0,0,8,0,17,0,73,0,0,0,33,0,2,0,0,1,3,0,0,12,-1,-1,-1,0,8,0,-1,-1,-1,0,42,59,-1,-1,-1
29912,-1,-1,-1,0,8,0,0,0,74,-1,-1,-1,13,14,56,-1,-1,-1,3,25,0,0,15,1,-1,-1,-1,0,8,51,16,0,0,29,5,0,12,9,9
30256,-1,-1,-1,-1,-1,-1,0,80,0,0,1,0,0,27,26,0,0,0,0,0,3,0,14,0,73,0,11,100000005,-1,100000005,0,8,16,-1,-1,-1,20,8,9
30406,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,30,33,0,0,3,28,-1,-1,-1,73,3,18,1,8,0,0,100000006,100000006,0,100000006,100000006,71,88,9
30697,-1,-1,-1,-1,-1,-1,40,0,0,0,0,0,0,14,0,2,0,0,67,0,0,100000003,100000003,0,-1,-1,-1,53,8,22,35,17,5,29,0,15,3,11,9
30953,0,0,0,0,0,59,0,0,0,0,0,36,0,14,0,0,0,0,0,81,0,0,0,61,73,0,0,9,8,19,-1,-1,-1,0,0,23,71,30,9
30959,0,0,0,0,0,48,0,0,0,0,0,0,0,14,0,35,29,73,8,8,53,0,69,0,73,0,0,-1,-1,-1,13,100000006,100000006,0,34,48,71,88,9
