,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
2439,0,0,0,0,0,32,0,17,0,-1,-1,-1,-1,-1,-1,0,36,0,11,51,0,0,9,15,0,0,13,39,10,5,100000005,-1,100000005,-1,-1,-1,71,100000006,100000006
4773,-1,-1,-1,0,0,0,-1,-1,-1,0,23,0,0,0,0,-1,-1,-1,51,0,0,27,43,0,0,0,13,100000005,-1,100000005,4,0,17,41,50,0,1,100000006,100000006
7712,0,5,0,-1,-1,-1,49,0,15,-1,-1,-1,54,0,0,100000003,100000003,8,0,0,27,50,0,0,17,0,13,-1,-1,-1,90,3,16,-1,-1,-1,32,100000006,100000006
8953,0,0,0,0,0,0,2,0,0,100000003,100000003,0,0,42,0,0,66,0,0,0,45,13,0,0,17,0,0,-1,-1,-1,23,25,6,3,87,24,7,100000006,100000006
9404,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,20,26,49,0,24,0,51,0,0,0,37,-1,-1,-1,19,12,25,0,0,25,41,7,50,9,100000006,100000006
10038,0,5,0,0,0,0,49,0,0,0,0,5,0,0,1,0,0,0,-1,-1,-1,0,0,0,69,0,13,-1,-1,-1,100000005,-1,100000005,41,13,0,-1,-1,-1
10756,0,5,0,0,0,0,49,15,0,-1,-1,-1,0,0,43,0,0,33,0,0,0,0,73,5,0,0,13,-1,-1,-1,-1,-1,-1,41,0,41,32,100000006,100000006
13889,0,0,0,0,3,0,0,0,0,100000003,100000003,8,0,0,22,5,0,0,29,0,0,0,59,7,0,9,0,-1,-1,-1,0,53,45,-1,-1,-1,-1,-1,-1
14123,0,0,0,0,0,41,0,0,0,20,53,0,0,0,10,0,13,0,0,51,0,-1,-1,-1,0,0,13,8,53,0,4,0,0,41,7,17,18,100000006,100000006
15895,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,0,1,19,0,0,0,13,0,0,100000006,100000006,44,0,13,-1,-1,-1,0,3,0,41,25,24,12,100000006,100000006
16302,0,0,63,13,34,66,-1,-1,-1,19,0,0,0,41,0,0,0,0,26,0,5,0,100000006,100000006,0,0,13,-1,-1,-1,23,3,0,41,27,18,12,100000006,100000006
16460,-1,-1,-1,0,0,0,13,67,0,100000003,100000003,0,0,0,0,0,16,70,0,0,0,0,59,7,13,22,42,-1,-1,-1,100000003,100000003,0,-1,-1,-1,7,100000006,100000006
17444,0,1,63,0,0,0,0,0,1,0,0,0,38,0,1,0,0,29,0,0,3,73,100000006,100000006,0,0,13,-1,-1,-1,0,3,0,-1,-1,-1,12,100000006,100000006
17940,-1,-1,-1,0,0,0,0,67,0,100000003,100000003,0,-1,-1,-1,0,0,0,15,38,0,0,59,0,0,22,0,-1,-1,-1,100000003,100000003,6,68,0,5,7,100000006,100000006
18910,0,0,23,0,0,0,0,0,0,100000003,100000003,0,72,0,0,13,0,0,0,0,0,0,59,0,-1,-1,-1,-1,-1,-1,0,0,0,42,28,5,7,100000006,100000006
19023,-1,-1,-1,0,7,0,0,0,0,0,11,52,0,0,0,0,0,0,30,0,0,0,2,0,26,0,13,-1,-1,-1,-1,-1,-1,41,12,0,12,100000006,100000006
19823,0,0,0,0,1,0,0,0,0,100000003,100000003,26,-1,-1,-1,0,0,56,43,0,0,0,3,13,74,0,1,25,100000006,100000006,12,40,10,0,0,14,7,100000006,100000006
20083,0,5,0,0,0,0,49,0,0,-1,-1,-1,0,0,43,0,0,33,0,14,6,0,73,0,-1,-1,-1,-1,-1,-1,0,3,19,41,66,85,32,100000006,100000006
20567,0,0,0,0,0,0,0,0,0,0,100000006,100000006,0,3,35,0,1,0,32,0,0,0,0,49,-1,-1,-1,100000005,-1,100000005,83,9,30,41,17,78,-1,-1,-1
21586,0,5,0,0,4,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,13,45,16,13,-1,-1,-1,100000005,-1,100000005,41,13,0,-1,-1,-1
22605,0,5,16,0,0,0,49,0,78,-1,-1,-1,0,4,0,-1,-1,-1,0,0,0,-1,-1,-1,0,0,13,-1,-1,-1,0,3,20,41,100000006,100000006,4,100000006,100000006
22663,0,5,0,0,0,0,49,0,0,57,35,0,69,0,0,0,0,8,5,0,0,0,0,22,10,0,13,-1,-1,-1,0,3,0,41,0,0,32,100000006,100000006
23786,-1,-1,-1,0,50,0,-1,-1,-1,38,0,0,69,0,0,34,0,67,-1,-1,-1,0,12,0,0,0,13,1,100000006,100000006,0,12,0,41,24,0,-1,-1,-1
24488,0,0,0,0,0,46,58,0,0,100000003,100000003,18,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,23,0,-1,-1,-1,23,25,0,3,6,13,7,100000006,100000006
26749,0,0,0,0,11,0,-1,-1,-1,-1,-1,-1,0,0,0,7,100000006,100000006,0,0,0,0,0,55,0,0,9,0,74,28,23,0,0,3,22,32,-1,-1,-1
27936,0,0,0,0,0,0,0,0,0,100000003,100000003,0,18,61,22,-1,-1,-1,-1,-1,-1,18,59,0,0,0,0,-1,-1,-1,27,13,69,0,2,5,7,100000006,100000006
28268,0,0,0,0,0,0,0,67,0,100000003,100000003,0,0,0,0,0,0,0,0,15,0,0,59,0,74,10,61,-1,-1,-1,0,2,2,-1,-1,-1,7,100000006,100000006
28943,0,0,0,0,56,0,0,0,0,100000003,100000003,0,-1,-1,-1,43,39,23,0,2,0,0,0,0,14,0,7,0,0,2,17,39,0,47,0,13,7,100000006,100000006
30157,0,0,0,0,36,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,0,0,29,13,0,38,59,0,0,0,32,-1,-1,-1,-1,-1,-1,52,2,5,7,100000006,100000006
31067,0,0,23,0,0,0,3,4,0,100000003,100000003,0,16,0,0,13,0,0,0,0,0,0,59,0,0,0,4,-1,-1,-1,0,56,33,0,28,5,7,100000006,100000006
31402,0,0,7,0,0,0,0,0,25,100000003,100000003,0,40,11,0,13,0,0,-1,-1,-1,0,59,0,100000005,-1,100000005,-1,-1,-1,0,0,41,0,28,5,7,100000006,100000006
31637,0,0,0,0,0,0,-1,-1,-1,100000003,100000003,0,0,0,0,13,0,0,-1,-1,-1,26,59,0,0,4,32,-1,-1,-1,0,7,0,6,28,5,-1,-1,-1
32231,0,0,0,0,0,0,0,67,0,100000003,100000003,24,-1,-1,-1,0,100000006,100000006,0,3,0,0,59,0,0,10,61,-1,-1,-1,100000003,100000003,2,68,57,5,-1,-1,-1
32350,-1,-1,-1,0,0,0,0,67,0,100000003,100000003,25,-1,-1,-1,0,0,0,-1,-1,-1,0,59,0,0,22,0,-1,-1,-1,100000003,100000003,0,68,0,5,-1,-1,-1
32383,0,5,0,0,0,0,19,0,0,100000003,100000003,0,0,0,0,13,9,0,0,0,0,39,59,9,43,0,0,-1,-1,-1,20,0,41,26,28,5,-1,-1,-1
32396,0,5,0,0,4,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,45,16,13,-1,-1,-1,100000005,-1,100000005,41,13,0,-1,-1,-1
32672,0,0,7,0,0,0,0,0,1,100000003,100000003,0,0,11,0,13,59,0,0,0,0,46,59,0,0,18,20,-1,-1,-1,0,0,41,0,28,5,7,100000006,100000006
33213,0,0,24,-1,-1,-1,0,3,0,100000003,100000003,0,0,0,8,-1,-1,-1,0,2,0,0,0,0,14,0,3,100000003,100000003,2,17,0,2,47,52,13,7,100000006,100000006
