,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
4647,0,30,0,-1,-1,-1,0,0,15,15,7,0,-1,-1,-1,0,18,0,19,71,0,0,0,34,0,0,4,9,0,46,0,4,40,38,58,0,100000003,100000003,6
6612,-1,-1,-1,40,0,0,0,0,0,-1,-1,-1,-1,-1,-1,18,0,17,-1,-1,-1,-1,-1,-1,0,9,0,0,58,0,100000003,100000003,0,100000005,-1,100000005,47,32,16
8977,0,30,0,0,0,0,0,0,70,15,7,0,0,85,0,0,18,0,24,71,0,0,0,0,58,0,49,43,0,9,-1,-1,-1,0,42,0,100000003,100000003,6
10349,0,0,0,0,10,0,0,0,0,-1,-1,-1,0,85,0,0,16,27,0,100000006,100000006,13,0,0,100000005,-1,100000005,36,19,0,0,6,0,26,55,0,0,6,2
11173,0,0,24,0,0,0,0,0,0,15,1,0,0,85,0,0,0,0,0,100000006,100000006,13,48,0,1,36,48,36,23,0,0,29,20,48,0,0,100000003,100000003,0
14332,-1,-1,-1,0,0,0,0,0,0,15,0,0,0,85,0,0,0,0,0,100000006,100000006,-1,-1,-1,0,0,0,36,0,0,0,0,20,48,0,2,-1,-1,-1
15084,0,30,0,5,0,0,0,0,0,15,7,15,0,85,0,0,18,0,0,71,0,0,4,0,3,50,48,0,0,0,0,4,40,0,58,0,100000003,100000003,6
16237,0,30,0,-1,-1,-1,33,0,0,15,0,0,47,85,13,0,15,0,0,71,0,0,59,0,0,0,0,0,6,28,40,15,40,4,92,32,100000003,100000003,23
16546,0,30,0,0,0,0,0,0,0,15,7,1,0,85,0,-1,-1,-1,0,71,12,0,0,0,0,0,26,0,12,0,0,4,40,100000005,-1,100000005,100000003,100000003,6
16808,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,0,17,-1,-1,-1,18,0,22,0,0,0,13,58,0,-1,-1,-1,27,58,0,100000003,100000003,31,100000005,-1,100000005,47,35,3
17123,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,85,16,0,0,0,0,100000006,100000006,13,0,0,0,0,0,36,0,0,-1,-1,-1,48,0,17,-1,-1,-1
17163,0,30,0,-1,-1,-1,0,71,0,-1,-1,-1,53,85,6,3,18,0,0,71,0,0,0,0,12,0,48,86,0,1,11,4,40,0,58,0,-1,-1,-1
17308,0,1,0,34,0,0,0,0,0,15,0,0,0,85,40,0,0,0,0,100000006,100000006,13,0,48,0,7,0,36,82,0,0,0,20,48,0,0,-1,-1,-1
19419,0,30,0,0,0,0,0,0,0,15,7,0,-1,-1,-1,0,18,0,0,71,0,-1,-1,-1,26,9,0,36,0,0,26,4,40,0,0,73,100000003,100000003,6
19434,0,0,0,2,0,0,0,0,0,15,0,0,0,85,0,5,16,0,0,100000006,100000006,13,61,0,0,0,0,36,0,10,0,44,0,26,55,0,0,61,53
19875,0,30,0,-1,-1,-1,0,0,0,15,7,72,0,85,0,0,18,0,20,71,0,0,0,4,100000005,-1,100000005,70,0,0,8,4,40,100000005,-1,100000005,100000003,100000003,6
20560,-1,-1,-1,0,22,0,0,0,0,15,0,0,-1,-1,-1,-1,-1,-1,0,6,0,13,0,17,-1,-1,-1,4,58,0,100000003,100000003,20,100000005,-1,100000005,47,100000006,100000006
20647,0,0,0,0,0,0,0,0,79,-1,-1,-1,0,85,0,-1,-1,-1,0,100000006,100000006,13,0,0,0,0,0,-1,-1,-1,17,0,20,48,13,41,-1,-1,-1
21983,0,30,0,0,89,0,0,0,0,15,0,39,16,85,0,23,0,0,0,71,0,0,1,7,2,0,7,5,0,28,38,35,40,0,92,32,100000003,100000003,32
22470,-1,-1,-1,0,0,0,0,0,0,15,0,0,0,85,35,-1,-1,-1,0,100000006,100000006,13,20,24,17,0,0,36,0,0,0,0,20,48,0,19,-1,-1,-1
22716,0,30,0,5,0,0,0,0,0,15,7,15,0,85,0,0,18,0,0,71,0,-1,-1,-1,3,0,48,0,1,0,58,4,40,0,58,16,100000003,100000003,6
22848,0,0,0,0,0,0,0,0,0,-1,-1,-1,23,85,0,-1,-1,-1,-1,-1,-1,13,0,0,15,36,0,-1,-1,-1,-1,-1,-1,48,24,43,-1,-1,-1
22992,-1,-1,-1,48,0,0,0,61,0,15,7,0,0,85,9,0,18,81,19,71,0,13,0,0,25,0,4,100000005,-1,100000005,0,4,40,38,58,11,100000003,100000003,6
23437,0,1,0,34,0,0,0,0,0,15,64,0,-1,-1,-1,-1,-1,-1,0,100000006,100000006,13,0,0,0,7,0,36,0,0,0,0,20,48,2,0,-1,-1,-1
