cell_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38
cell_0,67,0,0,0,11,-1,77,0,0,0,0,0,39,1,-1,0,-1,78,63,-1,76,-1,-1,0,-1,59,0,-1,0,0,-1,0,0,83,0,0,79,-1,0
cell_1,0,-1,0,-1,-1,0,41,88,22,16,21,-1,0,0,0,-1,-1,-1,0,-1,-1,0,0,-1,31,0,-1,0,-1,-1,-1,0,0,2,89,59,100,-1,27
cell_2,91,0,-1,0,0,2,63,-1,2,-1,38,74,31,-1,-1,56,0,-1,-1,0,70,62,-1,5,-1,0,28,0,0,-1,58,-1,79,0,0,7,70,0,0
cell_3,0,0,65,73,83,0,0,-1,69,-1,92,0,19,0,-1,69,28,58,0,57,-1,74,44,0,32,18,-1,-1,99,99,-1,0,20,56,96,-1,-1,29,-1
cell_4,45,0,94,-1,100,0,0,-1,-1,69,67,-1,92,76,14,11,0,21,71,0,100,88,21,0,-1,0,0,43,0,24,0,15,0,6,-1,0,-1,52,0
cell_5,99,40,33,0,57,0,-1,0,94,0,0,99,5,-1,-1,0,21,-1,24,80,0,0,0,0,0,15,25,0,0,58,-1,0,0,15,84,0,73,85,0
cell_6,83,93,37,0,0,57,21,0,0,6,0,1,-1,63,0,0,0,11,15,22,84,0,26,0,0,-1,11,31,5,0,38,45,-1,0,-1,45,-1,0,0
cell_7,12,0,-1,-1,0,-1,33,33,0,0,58,0,0,0,-1,0,0,74,28,0,99,0,0,21,0,0,63,-1,0,11,0,43,80,-1,0,0,17,34,0
cell_8,-1,28,71,16,-1,0,0,0,19,12,-1,46,0,0,-1,92,62,5,20,-1,-1,-1,-1,0,43,4,0,0,0,-1,-1,0,0,25,18,87,44,-1,0
cell_9,71,0,45,0,86,39,0,-1,0,21,0,0,0,0,-1,-1,0,0,28,0,0,77,0,0,76,73,-1,77,0,-1,38,-1,0,0,0,-1,0,56,-1
cell_10,48,-1,0,0,23,0,0,0,6,0,97,45,38,37,0,0,3,-1,0,-1,0,38,0,34,0,-1,90,54,0,0,54,-1,64,-1,0,0,19,-1,0
cell_11,-1,22,-1,0,57,-1,0,-1,40,0,0,60,0,59,0,62,53,96,0,29,46,-1,-1,-1,2,47,0,0,-1,0,0,0,-1,33,79,0,81,52,0
cell_12,0,76,0,-1,-1,-1,89,74,-1,0,87,0,-1,10,0,52,46,-1,0,0,0,-1,86,5,14,43,66,0,65,55,26,0,0,29,70,39,-1,-1,0
cell_13,25,0,0,6,0,35,0,0,-1,-1,0,51,-1,-1,54,87,73,-1,0,0,-1,-1,18,0,0,63,0,0,0,0,0,0,-1,0,30,0,0,20,23
cell_14,100,84,3,-1,0,12,0,0,-1,0,0,45,0,50,0,0,0,0,0,-1,-1,98,0,73,0,66,-1,96,0,67,-1,-1,0,0,-1,0,40,0,0
